2024-03-11 15:53:27,676 | INFO | hilo : 
+==============================================================+
|                                                              |
| ██████╗  █████╗ ██████╗ ██╗         ██╗      █████╗ ██████╗  |
| ██╔══██╗██╔══██╗██╔══██╗██║         ██║     ██╔══██╗██╔══██╗ |
| ██║  ██║███████║██║  ██║██║         ██║     ███████║██████╔╝ |
| ██║  ██║██╔══██║██║  ██║██║         ██║     ██╔══██║██╔══██╗ |
| ██████╔╝██║  ██║██████╔╝███████╗    ███████╗██║  ██║██████╔╝ |
| ╚═════╝ ╚═╝  ╚═╝╚═════╝ ╚══════╝    ╚══════╝╚═╝  ╚═╝╚═════╝  |
+==============================================================+
|             Hi-Lo Resolution Image Classification            |
|             -------------------------------------            |
|                       Gabriel C. Trahan                      |
|                          Sahan Ahmad                         |
|                       MD  Aminual Islam                      |
+==============================================================+
2024-03-11 15:53:29,287 | INFO | hilo.dataset-accessor : Fetching dataset: imagenet
2024-03-11 15:53:29,288 | INFO | hilo.imagenet-dataset : Initializing transform.
2024-03-11 15:53:29,288 | INFO | hilo.imagenet-dataset : Verifying/downloading train data.
2024-03-11 15:53:31,951 | INFO | hilo.imagenet-dataset : Verifying/downloading test data.
2024-03-11 15:53:31,972 | INFO | hilo.imagenet-dataset : Creating train data loader.
2024-03-11 18:47:25,916 | INFO | hilo : Epoch 131/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 18:48:49,681 | INFO | hilo : Epoch 132/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 18:50:12,936 | INFO | hilo : Epoch 133/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 18:51:36,429 | INFO | hilo : Epoch 134/200 | Accuracy:   0.0000 | Loss:   5.2986
2024-03-11 18:52:59,885 | INFO | hilo : Epoch 135/200 | Accuracy:   0.0000 | Loss:   5.2986
2024-03-11 18:54:23,486 | INFO | hilo : Epoch 136/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 18:55:46,924 | INFO | hilo : Epoch 137/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 18:57:10,523 | INFO | hilo : Epoch 138/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 18:58:34,232 | INFO | hilo : Epoch 139/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 18:59:57,954 | INFO | hilo : Epoch 140/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 19:01:21,679 | INFO | hilo : Epoch 141/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 19:02:45,549 | INFO | hilo : Epoch 142/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 19:04:09,413 | INFO | hilo : Epoch 143/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 19:05:33,330 | INFO | hilo : Epoch 144/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 19:06:57,287 | INFO | hilo : Epoch 145/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 19:08:21,205 | INFO | hilo : Epoch 146/200 | Accuracy:   0.0000 | Loss:   5.2986
2024-03-11 19:09:45,184 | INFO | hilo : Epoch 147/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 19:11:09,363 | INFO | hilo : Epoch 148/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 19:12:33,605 | INFO | hilo : Epoch 149/200 | Accuracy:   0.0000 | Loss:   5.2985
2024-03-11 19:13:57,779 | INFO | hilo : Epoch 150/200 | Accuracy:   0.0000 | Loss:   5.2983
2024-03-11 19:15:22,149 | INFO | hilo : Epoch 151/200 | Accuracy:   0.0000 | Loss:   5.2983
2024-03-11 19:16:46,526 | INFO | hilo : Epoch 152/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 19:18:11,583 | INFO | hilo : Epoch 153/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 19:19:36,073 | INFO | hilo : Epoch 154/200 | Accuracy:   0.0000 | Loss:   5.2983
2024-03-11 19:21:00,593 | INFO | hilo : Epoch 155/200 | Accuracy:   0.0000 | Loss:   5.2983
2024-03-11 19:22:25,103 | INFO | hilo : Epoch 156/200 | Accuracy:   0.0000 | Loss:   5.2983
2024-03-11 19:23:49,719 | INFO | hilo : Epoch 157/200 | Accuracy:   0.0000 | Loss:   5.2983
2024-03-11 19:25:14,332 | INFO | hilo : Epoch 158/200 | Accuracy:   0.0000 | Loss:   5.2984
2024-03-11 19:26:39,017 | INFO | hilo : Epoch 159/200 | Accuracy:   0.0000 | Loss:   5.2983
