MODEL,DATASET,DISTRIBUTION,KERNEL TYPE,BEST TRAIN ACCURACY,AT EPOCH,TEST ACCURACY
resnet,mnist,poisson,14,--,--,--
vgg,cifar10,none,--,--,--,--
vgg,cifar10,cauchy,1,--,--,--
vgg,cifar10,cauchy,2,--,--,--
vgg,cifar10,cauchy,3,--,--,--
vgg,cifar10,cauchy,4,--,--,--
vgg,cifar10,cauchy,5,--,--,--
vgg,cifar10,cauchy,6,--,--,--
vgg,cifar10,cauchy,7,--,--,--
vgg,cifar10,cauchy,8,--,--,--
vgg,cifar10,cauchy,9,--,--,--
vgg,cifar10,cauchy,10,--,--,--
vgg,cifar10,cauchy,11,--,--,--
vgg,cifar10,cauchy,12,--,--,--
vgg,cifar10,cauchy,13,--,--,--
vgg,cifar10,cauchy,14,--,--,--
vgg,cifar10,gaussian,1,--,--,--
vgg,cifar10,gaussian,2,--,--,--
vgg,cifar10,gaussian,3,--,--,--
vgg,cifar10,gaussian,4,--,--,--
vgg,cifar10,gaussian,5,--,--,--
vgg,cifar10,gaussian,6,--,--,--
vgg,cifar10,gaussian,7,--,--,--
vgg,cifar10,gaussian,8,--,--,--
vgg,cifar10,gaussian,9,--,--,--
vgg,cifar10,gaussian,10,--,--,--
vgg,cifar10,gaussian,11,--,--,--
vgg,cifar10,gaussian,12,--,--,--
vgg,cifar10,gaussian,13,--,--,--
vgg,cifar10,gaussian,14,--,--,--
vgg,cifar10,gumbel,1,--,--,--
vgg,cifar10,gumbel,2,--,--,--
vgg,cifar10,gumbel,3,--,--,--
vgg,cifar10,gumbel,4,--,--,--
vgg,cifar10,gumbel,5,--,--,--
vgg,cifar10,gumbel,6,--,--,--
vgg,cifar10,gumbel,7,--,--,--
vgg,cifar10,gumbel,8,--,--,--
vgg,cifar10,gumbel,9,--,--,--
vgg,cifar10,gumbel,10,--,--,--
vgg,cifar10,gumbel,11,--,--,--
vgg,cifar10,gumbel,12,--,--,--
vgg,cifar10,gumbel,13,--,--,--
vgg,cifar10,gumbel,14,--,--,--
vgg,cifar10,laplace,1,--,--,--
vgg,cifar10,laplace,2,--,--,--
vgg,cifar10,laplace,3,--,--,--
vgg,cifar10,laplace,4,--,--,--
vgg,cifar10,laplace,5,--,--,--
